===== Overall Metrics =====
Pixel Accuracy: 0.6300
Mean F1 Score:  0.1363
Mean IoU:       0.1020

===== Per-Class Metrics (Standard) =====
Background | IoU: 0.6252 | F1: 0.7694 | Precision: 0.6802 | Recall: 0.8855
Road       | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Stream     | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Forest     | IoU: 0.1911 | F1: 0.3208 | Precision: 0.4009 | Recall: 0.2674
Lakes      | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Rivers     | IoU: 0.0000 | F1: 0.0000 | Precision: 1.0000 | Recall: 0.0000
Wetlands   | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Buildings  | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000

===== Centerline-based Metrics (Buffer=8 pixels) =====
Road       | Dice: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Stream     | Dice: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
