===== Overall Metrics =====
Pixel Accuracy: 0.6304
Mean F1 Score:  0.0982
Mean IoU:       0.0796

===== Per-Class Metrics (Standard) =====
Background | IoU: 0.6299 | F1: 0.7729 | Precision: 0.6309 | Recall: 0.9975
Road       | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Stream     | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Forest     | IoU: 0.0065 | F1: 0.0130 | Precision: 0.4870 | Recall: 0.0066
Lakes      | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Rivers     | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Wetlands   | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Buildings  | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000

===== Centerline-based Metrics (Buffer=8 pixels) =====
Road       | Dice: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Stream     | Dice: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
