===== Overall Metrics =====
Pixel Accuracy: 0.6304
Mean F1 Score:  0.1034
Mean IoU:       0.0822

===== Per-Class Metrics (Standard) =====
Background | IoU: 0.6294 | F1: 0.7726 | Precision: 0.6306 | Recall: 0.9970
Road       | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Stream     | IoU: 0.0000 | F1: 0.0000 | Precision: 1.0000 | Recall: 0.0000
Forest     | IoU: 0.0276 | F1: 0.0536 | Precision: 0.6123 | Recall: 0.0280
Lakes      | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Rivers     | IoU: 0.0003 | F1: 0.0006 | Precision: 1.0000 | Recall: 0.0003
Wetlands   | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Buildings  | IoU: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000

===== Centerline-based Metrics (Buffer=8 pixels) =====
Road       | Dice: 0.0000 | F1: 0.0000 | Precision: 0.0000 | Recall: 0.0000
Stream     | Dice: 0.0000 | F1: 0.0000 | Precision: 1.0000 | Recall: 0.0000
